epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,225.241,2.47497,3.01046,0.0037,0.28018,0.15296,0.11456,0.05783,2.36318,2.02407,0.00432,0.00997531,0.0033251,0.00997531,0.0033251,0.0767243,0.0700741,0.00997531,0.0033251
2,393.722,2.42536,2.14546,0.00336,0.23388,0.20604,0.16772,0.08785,2.32512,1.89007,0.00418,0.0195798,0.0065266,0.0195798,0.0065266,0.0529954,0.0399422,0.0195798,0.0065266
3,548.669,2.39397,1.96631,0.00328,0.26085,0.23281,0.19186,0.10132,2.27617,1.80061,0.00416,0.0287883,0.0095961,0.0287883,0.0095961,0.0288706,0.0096784,0.0287883,0.0095961
4,700.431,2.38205,1.87273,0.00322,0.32108,0.23758,0.21401,0.11674,2.22367,1.71087,0.00406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,850.235,2.3588,1.79923,0.00317,0.31214,0.23984,0.21366,0.11377,2.30693,1.72501,0.00408,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1001.76,2.33468,1.73526,0.0031,0.32338,0.25709,0.23422,0.12339,2.21813,1.66643,0.004,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1151.8,2.31834,1.70552,0.00307,0.3429,0.27196,0.25119,0.13789,2.16189,1.63488,0.00388,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1302.12,2.29333,1.67399,0.00301,0.3522,0.27879,0.25193,0.13592,2.15747,1.62858,0.00385,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1452.05,2.29207,1.67128,0.00303,0.3526,0.26668,0.25359,0.13862,2.15943,1.63987,0.00383,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1602.56,2.26541,1.63596,0.00296,0.35811,0.27681,0.2622,0.14403,2.15986,1.5951,0.00384,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1753.76,2.2664,1.62596,0.00296,0.38411,0.27874,0.26707,0.14411,2.15918,1.59102,0.00381,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1904.87,2.2527,1.60723,0.00292,0.38242,0.28896,0.27496,0.15039,2.12709,1.5717,0.00378,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2055.83,2.2428,1.60103,0.00291,0.36527,0.28507,0.27336,0.15253,2.11458,1.57491,0.00375,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
